LL(1) Parsing Table (Detailed)
====================================================================================================

M[statement      , ID        ] -> var_or_proc_call stmt_tail
M[statement      , KEYWORD_begin] -> compound_stmt
M[statement      , KEYWORD_if] -> KEYWORD_if expression KEYWORD_then statement else_part
M[statement      , KEYWORD_while] -> KEYWORD_while expression KEYWORD_do statement
M[stmt_list      , ID        ] -> statement stmt_list_prime
M[stmt_list      , KEYWORD_begin] -> statement stmt_list_prime
M[stmt_list      , KEYWORD_if] -> statement stmt_list_prime
M[stmt_list      , KEYWORD_while] -> statement stmt_list_prime
M[stmt_list_prime, KEYWORD_end] -> EPSILON
M[stmt_list_prime, SEMICOLON ] -> SEMICOLON statement stmt_list_prime
M[stmt_tail      , KEYWORD_else] -> EPSILON
M[stmt_tail      , KEYWORD_end] -> EPSILON
M[stmt_tail      , SEMICOLON ] -> EPSILON
M[subprogram_decl, KEYWORD_function] -> subprogram_head declarations compound_stmt
M[subprogram_decl, KEYWORD_procedure] -> subprogram_head declarations compound_stmt
M[subprogram_decls, KEYWORD_begin] -> EPSILON
M[subprogram_decls, KEYWORD_function] -> subprogram_decl SEMICOLON subprogram_decls
M[subprogram_decls, KEYWORD_procedure] -> subprogram_decl SEMICOLON subprogram_decls
M[subprogram_head, KEYWORD_function] -> KEYWORD_function ID arguments COLON type_spec SEMICOLON
M[subprogram_head, KEYWORD_procedure] -> KEYWORD_procedure ID arguments SEMICOLON
M[term           , ID        ] -> factor term_prime
M[term           , KEYWORD_not] -> factor term_prime
M[term           , LPAREN    ] -> factor term_prime
M[term           , MINUS     ] -> factor term_prime
M[term           , NUMBER    ] -> factor term_prime
M[term           , PLUS      ] -> factor term_prime
M[term_prime     , COMMA     ] -> EPSILON
M[term_prime     , DIVIDE    ] -> mulop factor term_prime
M[term_prime     , EQ        ] -> EPSILON
M[term_prime     , GE        ] -> EPSILON
M[term_prime     , GT        ] -> EPSILON
M[term_prime     , KEYWORD_and] -> mulop factor term_prime
M[term_prime     , KEYWORD_div] -> mulop factor term_prime
M[term_prime     , KEYWORD_do] -> EPSILON
M[term_prime     , KEYWORD_else] -> EPSILON
M[term_prime     , KEYWORD_end] -> EPSILON
M[term_prime     , KEYWORD_mod] -> mulop factor term_prime
M[term_prime     , KEYWORD_or] -> EPSILON
M[term_prime     , KEYWORD_then] -> EPSILON
M[term_prime     , LE        ] -> EPSILON
M[term_prime     , LT        ] -> EPSILON
M[term_prime     , MINUS     ] -> EPSILON
M[term_prime     , MULTIPLY  ] -> mulop factor term_prime
M[term_prime     , NEQ       ] -> EPSILON
M[term_prime     , PLUS      ] -> EPSILON
M[term_prime     , RBRACKET  ] -> EPSILON
M[term_prime     , RPAREN    ] -> EPSILON
M[term_prime     , SEMICOLON ] -> EPSILON
M[type_spec      , KEYWORD_array] -> KEYWORD_array LBRACKET NUMBER DOUBLE_DOT NUMBER RBRACKET KEYWORD_of type_spec
M[type_spec      , KEYWORD_integer] -> KEYWORD_integer
M[type_spec      , KEYWORD_real] -> KEYWORD_real
M[var_or_proc_call, ID        ] -> ID var_or_proc_tail
M[var_or_proc_tail, ASSIGN    ] -> ASSIGN expression
M[var_or_proc_tail, LBRACKET  ] -> LBRACKET expression RBRACKET ASSIGN expression
M[var_or_proc_tail, LPAREN    ] -> LPAREN expr_list RPAREN
